Ticket_ID,Date,Time_HM,Agent,Category,Subcategory,Status,Wait_Time_Sec,Talk_Time_Sec,Hold_Time_Sec,RNA_Accident,CSAT_Score
100091,2026-02-05,00:00,Elena,Installation or Uninstallation,How to install?,Solved,9,303,118,No,5
100092,2025-12-23,00:00,Igor,Sale,Mistyped email,Escalated (In progress),21,566,33,No,2
100093,2026-01-06,00:00,Elena,Activating and Licensing,Activating by assigning license,Solved,18,320,410,No,9
100094,2025-12-18,00:00,Sveta,Activating and Licensing,Activating by assigning license,Solved,30,311,55,No,5
100095,2025-12-02,00:00,Dmitriy,Installation or Uninstallation,How to install?,Waiting for user info,109,244,91,No,9
100096,2026-02-02,00:00,Dmitriy,Activating and Licensing,Key blocked,Solved,28,75,268,No,
100097,2025-12-23,00:00,Sveta,Activating and Licensing,Key blocked,Waiting for user info,15,335,577,No,
100098,2026-01-29,00:00,Anna,Activating and Licensing,Key blocked,Solved,54,369,279,No,6
100099,2026-01-21,00:00,Dmitriy,Activating and Licensing,Key blocked,Solved,17,286,51,No,7
100100,2025-12-01,00:00,Maria,Sale,Mistyped email,Solved,15,414,102,No,3
100101,2026-01-06,00:00,Alex,Sale,Refund: Other Reason/Unknown,Solved,269,517,120,No,
100102,2025-12-17,00:00,Alex,Sale,How to purchase?,Solved,29,506,0,No,2
100103,2025-12-23,00:00,Alex,Sale,Mistyped email,Solved,42,492,0,No,
100104,2026-02-16,00:00,Elena,Sale,Refund: Other Reason/Unknown,Waiting for user info,23,332,149,No,8
100105,2026-02-06,00:00,Dmitriy,General / Other,Non support (Prank/Drop),Solved,69,310,59,No,
100106,2025-12-12,00:00,Elena,Sale,Mistyped email,Solved,54,367,0,No,8
100107,2026-02-10,00:00,Sveta,Activating and Licensing,Key blocked,Solved,229,440,117,No,9
100108,2025-12-29,00:00,Anna,Sale,Mistyped email,Solved,112,362,149,No,
100109,2026-02-02,00:00,Dmitriy,Sale,Refund: Other Reason/Unknown,Solved,183,235,0,No,9
100110,2026-02-08,00:00,Anna,Sale,Refund: Other Reason/Unknown,Waiting for user info,33,375,0,No,3
100111,2025-12-03,00:00,Elena,Activating and Licensing,Activating by assigning license,Solved,9,323,92,No,
100112,2026-02-09,00:00,Sveta,Installation or Uninstallation,How to install?,Waiting for user info,31,372,112,No,7
100113,2025-12-20,00:00,Igor,Sale,Mistyped email,Solved,24,458,0,No,1
100114,2025-12-12,00:00,Alex,Sale,Refund: Other Reason/Unknown,Waiting for user info,235,479,0,No,4
100115,2026-02-20,00:00,Igor,Sale,Refund: Other Reason/Unknown,Solved,248,481,0,No,
100116,2026-02-02,00:00,Alex,Sale,Mistyped email,Solved,33,476,110,No,2
100117,2026-01-03,00:00,Maria,Activating and Licensing,Activating by assigning license,Solved,98,344,33,No,3
100118,2026-01-02,00:00,Elena,Sale,Mistyped email,Solved,14,398,0,No,
100119,2026-02-19,00:00,Anna,General / Other,Not category,Solved,57,340,0,No,6
100120,2025-12-29,00:00,Igor,Installation or Uninstallation,Error during installation,Solved,155,434,414,No,
100121,2026-01-23,00:00,Alex,Activating and Licensing,Key blocked,Solved,28,457,568,No,2
100122,2026-01-14,00:00,Alex,Installation or Uninstallation,How to install?,Solved,22,498,582,No,5
100123,2025-12-09,00:00,Dmitriy,Activating and Licensing,Key blocked,Solved,25,215,425,No,8
100124,2026-02-05,00:00,Dmitriy,Sale,Mistyped email,Solved,12,312,0,No,7
100125,2026-02-04,00:00,Maria,Activating and Licensing,Key blocked,Solved,167,393,139,No,8
100126,2025-12-23,00:00,Maria,Installation or Uninstallation,Error during installation,Solved,15,413,132,No,
100127,2026-01-01,00:00,Anna,Sale,How to purchase?,Solved,50,324,117,No,8
100128,2026-01-27,00:00,Igor,Activating and Licensing,Activating by assigning license,Waiting for user info,53,509,264,No,3
100129,2026-02-09,00:00,Sveta,Installation or Uninstallation,Error during installation,Solved,15,432,420,No,
100130,2026-01-05,00:00,Sveta,Activating and Licensing,Activating by assigning license,Solved,36,305,139,No,
100131,2026-02-13,00:00,Sveta,Sale,Mistyped email,Waiting for user info,114,400,106,No,9
100132,2025-12-22,00:00,Elena,Activating and Licensing,Activating by assigning license,Escalated (In progress),20,292,560,No,6
100133,2025-12-11,00:00,Igor,Sale,How to purchase?,Waiting for user info,16,451,0,No,5
100134,2025-12-18,00:00,Elena,Activating and Licensing,Activating by assigning license,Solved,232,432,35,No,7
100135,2025-12-31,00:00,Anna,Activating and Licensing,Key blocked,Solved,32,349,30,No,2
100136,2025-12-01,00:00,Alex,Installation or Uninstallation,How to install?,Solved,152,479,270,No,5
100137,2026-02-11,00:00,Dmitriy,Activating and Licensing,Activating by assigning license,Solved,152,296,282,No,8
100138,2025-12-08,00:00,Igor,Installation or Uninstallation,How to install?,Solved,166,472,39,No,1
100139,2025-12-19,00:00,Alex,Activating and Licensing,Activating by assigning license,Solved,30,498,435,No,
100140,2025-12-24,00:00,Maria,Sale,Refund: Other Reason/Unknown,Solved,41,342,0,No,8
100141,2025-12-16,00:00,Anna,Sale,Mistyped email,Waiting for user info,27,267,0,No,2
100142,2026-01-30,00:00,Dmitriy,Sale,Mistyped email,Waiting for user info,12,288,0,No,
100143,2026-02-05,00:00,Alex,Installation or Uninstallation,How to install?,Waiting for user info,108,541,418,Yes,2
100144,2026-01-14,00:00,Dmitriy,Installation or Uninstallation,How to install?,Escalated (In progress),13,297,426,No,7
100145,2026-02-09,00:00,Igor,Activating and Licensing,Activating by assigning license,Solved,48,584,586,No,3
100146,2026-02-11,00:00,Alex,Sale,Refund: Other Reason/Unknown,Solved,75,433,66,Yes,
100147,2026-02-14,00:00,Alex,Activating and Licensing,Key blocked,Waiting for user info,66,522,284,No,
100148,2026-02-22,00:00,Anna,Installation or Uninstallation,How to install?,Waiting for user info,22,286,105,No,8
100149,2026-01-25,00:00,Dmitriy,Activating and Licensing,Key blocked,Solved,22,234,285,No,7
100150,2025-12-16,00:00,Anna,Activating and Licensing,Activating by assigning license,Solved,34,373,589,No,7
100151,2026-02-19,00:00,Sveta,Sale,How to purchase?,Solved,25,333,0,No,
100152,2026-01-03,00:00,Dmitriy,Installation or Uninstallation,Error during installation,Solved,20,228,429,No,8
100153,2025-12-25,00:00,Maria,Sale,How to purchase?,Waiting for user info,23,394,135,No,
100154,2026-02-07,00:00,Elena,Activating and Licensing,Key blocked,Escalated (In progress),15,302,263,No,9
100155,2026-01-25,00:00,Igor,Sale,Refund: Other Reason/Unknown,Solved,28,417,0,No,1
100156,2026-01-07,00:00,Maria,Activating and Licensing,Activating by assigning license,Escalated (In progress),42,383,73,No,
100157,2025-12-19,00:00,Dmitriy,Sale,Mistyped email,Solved,221,274,0,No,7
100158,2025-12-17,00:00,Dmitriy,General / Other,Not category,Solved,9,243,0,No,6
100159,2026-02-06,00:00,Sveta,General / Other,Not category,Solved,128,394,0,No,6
100160,2026-01-02,00:00,Sveta,Activating and Licensing,Key blocked,Solved,38,380,110,No,
100161,2025-12-05,00:00,Dmitriy,Sale,Refund: Other Reason/Unknown,Solved,26,244,135,No,
100162,2025-12-22,00:00,Sveta,Sale,How to purchase?,Solved,36,204,0,No,8
100163,2025-12-16,00:00,Anna,Sale,Mistyped email,Solved,141,237,0,No,8
100164,2025-12-31,00:00,Alex,Installation or Uninstallation,Error during installation,Waiting for user info,13,526,124,No,4
100165,2026-02-23,00:00,Elena,General / Other,Not category,Solved,40,343,36,No,7
100166,2026-01-28,00:00,Dmitriy,Sale,Mistyped email,Solved,27,267,0,No,
100167,2026-02-05,00:00,Igor,Sale,Mistyped email,Waiting for user info,15,504,0,No,2
100168,2025-12-10,00:00,Maria,Installation or Uninstallation,Error during installation,Solved,18,342,51,No,
100169,2025-12-15,00:00,Dmitriy,Sale,Refund: Other Reason/Unknown,Solved,20,263,0,No,
100170,2026-02-10,00:00,Dmitriy,Installation or Uninstallation,Error during installation,Solved,35,277,434,No,
100171,2026-01-27,00:00,Igor,Activating and Licensing,Activating by assigning license,Solved,42,514,416,No,
100172,2026-02-09,00:00,Elena,Installation or Uninstallation,How to install?,Solved,27,338,573,No,
100173,2026-02-21,00:00,Alex,Installation or Uninstallation,Error during installation,Waiting for user info,45,590,53,No,1
100174,2026-01-03,00:00,Maria,Installation or Uninstallation,Error during installation,Solved,165,393,136,No,9
100175,2026-01-27,00:00,Sveta,Sale,How to purchase?,Solved,67,428,127,No,3
100176,2026-01-06,00:00,Alex,Sale,Refund: Other Reason/Unknown,Waiting for user info,41,484,59,No,6
100177,2026-02-09,00:00,Alex,Sale,Refund: Other Reason/Unknown,Solved,18,468,48,No,1
100178,2026-02-09,00:00,Anna,Activating and Licensing,Activating by assigning license,Solved,15,317,425,No,
100179,2026-01-15,00:00,Anna,Activating and Licensing,Activating by assigning license,Solved,121,343,122,No,
100180,2026-01-16,00:00,Sveta,General / Other,Non support (Prank/Drop),Solved,174,244,0,No,9
100181,2026-01-01,00:00,Alex,Activating and Licensing,Key blocked,Escalated (In progress),29,420,112,No,
100182,2025-12-30,00:00,Dmitriy,General / Other,Non support (Prank/Drop),Solved,42,249,80,No,9
100183,2026-01-29,00:00,Anna,Sale,Mistyped email,Solved,29,263,0,No,5
100184,2026-02-09,00:00,Igor,Installation or Uninstallation,Error during installation,Solved,165,372,138,No,3
100185,2026-01-07,00:00,Anna,Installation or Uninstallation,How to install?,Solved,234,353,69,No,3
100186,2025-12-03,00:00,Sveta,Sale,Mistyped email,Solved,122,382,110,No,6
100187,2026-02-24,00:00,Sveta,Activating and Licensing,Activating by assigning license,Solved,18,415,575,No,8
100188,2025-12-09,00:00,Dmitriy,Activating and Licensing,Key blocked,Solved,26,215,117,No,8
100189,2026-01-13,00:00,Igor,Sale,Mistyped email,Solved,56,549,142,No,
100190,2026-02-19,00:00,Anna,Activating and Licensing,Key blocked,Solved,76,352,131,No,2
100191,2026-02-11,00:00,Maria,Activating and Licensing,Activating by assigning license,Solved,14,242,133,No,
100192,2026-01-21,00:00,Elena,Activating and Licensing,Activating by assigning license,Solved,18,343,114,No,7
100193,2026-01-16,00:00,Sveta,Sale,Mistyped email,Solved,11,335,0,No,
100194,2026-01-27,00:00,Alex,Activating and Licensing,Key blocked,Solved,91,399,563,No,3
100195,2026-01-29,00:00,Anna,Sale,Refund: Other Reason/Unknown,Solved,42,346,101,No,6
100196,2026-02-09,00:00,Sveta,Sale,Refund: Other Reason/Unknown,Solved,224,360,0,No,2
100197,2025-12-04,00:00,Dmitriy,Sale,Refund: Other Reason/Unknown,Solved,32,271,0,No,8
100198,2026-02-09,00:00,Igor,General / Other,Non support (Prank/Drop),Escalated (In progress),179,436,65,No,8
100199,2026-01-13,00:00,Alex,Activating and Licensing,Activating by assigning license,Solved,29,466,581,No,5
100200,2026-01-21,00:00,Elena,Activating and Licensing,Activating by assigning license,Waiting for user info,137,402,48,No,
100201,2026-01-27,00:00,Anna,Sale,Refund: Other Reason/Unknown,Solved,24,389,0,No,8
100202,2026-01-11,00:00,Sveta,General / Other,Not category,Solved,209,245,0,No,8
100203,2025-12-15,00:00,Dmitriy,Sale,How to purchase?,Solved,15,249,0,No,
100204,2025-12-23,00:00,Sveta,Activating and Licensing,Activating by assigning license,Solved,29,328,112,No,3
100205,2026-01-15,00:00,Elena,Activating and Licensing,Activating by assigning license,Solved,17,294,82,No,7
100206,2026-01-12,00:00,Elena,Activating and Licensing,Activating by assigning license,Escalated (In progress),91,434,430,No,2
100207,2025-12-30,00:00,Alex,Activating and Licensing,Key blocked,Waiting for user info,202,436,270,No,2
100208,2025-12-29,00:00,Maria,Activating and Licensing,Activating by assigning license,Solved,33,378,422,No,8
100209,2026-02-23,00:00,Dmitriy,Activating and Licensing,Key blocked,Waiting for user info,131,227,37,No,7
100210,2025-12-24,00:00,Igor,Sale,How to purchase?,Waiting for user info,22,412,0,No,1
100211,2026-02-12,00:00,Anna,Activating and Licensing,Key blocked,Solved,156,364,96,No,9
100212,2026-02-18,00:00,Elena,Activating and Licensing,Key blocked,Solved,26,412,579,No,3
100213,2025-12-24,00:00,Sveta,Activating and Licensing,Activating by assigning license,Solved,20,416,114,No,3
100214,2026-02-23,00:00,Alex,Activating and Licensing,Key blocked,Solved,217,415,438,No,8
100215,2026-02-10,00:00,Dmitriy,Activating and Licensing,Key blocked,Waiting for user info,13,225,30,No,
100216,2026-01-28,00:00,Sveta,Sale,Mistyped email,Solved,33,367,0,No,
100217,2025-12-03,00:00,Anna,Sale,Refund: Other Reason/Unknown,Solved,20,338,78,No,7
100218,2026-01-26,00:00,Sveta,Sale,How to purchase?,Waiting for user info,19,324,0,No,9
100219,2025-12-15,00:00,Alex,Installation or Uninstallation,Error during installation,Solved,43,478,143,No,5
100220,2025-12-18,00:00,Dmitriy,Activating and Licensing,Activating by assigning license,Solved,103,286,137,No,
100221,2026-01-08,00:00,Sveta,Activating and Licensing,Activating by assigning license,Solved,22,314,572,No,9
100222,2026-01-20,00:00,Igor,Sale,How to purchase?,Solved,20,469,0,No,2
100223,2026-01-05,00:00,Dmitriy,Sale,Refund: Other Reason/Unknown,Solved,31,267,0,No,8
100224,2025-12-02,00:00,Alex,Activating and Licensing,Key blocked,Solved,26,474,564,No,
100225,2026-02-12,00:00,Elena,Sale,Mistyped email,Solved,13,359,0,No,6
100226,2025-12-01,00:00,Maria,Sale,Mistyped email,Solved,20,385,0,No,9
100227,2025-12-03,00:00,Anna,Activating and Licensing,Key blocked,Solved,149,351,564,No,
100228,2025-12-10,00:00,Anna,Sale,Mistyped email,Waiting for user info,49,360,63,No,
100229,2025-12-10,00:00,Maria,Installation or Uninstallation,How to install?,Solved,30,410,120,No,
100230,2026-02-06,00:00,Dmitriy,Installation or Uninstallation,How to install?,Solved,24,202,583,No,8
100231,2025-12-07,00:00,Alex,Sale,Mistyped email,Waiting for user info,41,491,0,No,4
100232,2025-12-15,00:00,Anna,Installation or Uninstallation,Error during installation,Solved,15,420,113,No,
100233,2026-02-18,00:00,Dmitriy,Activating and Licensing,Key blocked,Solved,26,195,44,No,8
100234,2026-02-05,00:00,Anna,Sale,Refund: Other Reason/Unknown,Solved,116,324,89,No,
100235,2025-12-19,00:00,Sveta,General / Other,Non support (Prank/Drop),Escalated (In progress),30,304,62,No,5
100236,2025-12-10,00:00,Alex,Sale,Refund: Other Reason/Unknown,Waiting for user info,18,477,105,No,3
100237,2026-01-19,00:00,Elena,Activating and Licensing,Key blocked,Solved,293,310,69,No,9
100238,2026-01-15,00:00,Alex,Sale,Refund: Other Reason/Unknown,Solved,56,508,0,No,4
100239,2025-12-31,00:00,Anna,General / Other,Non support (Prank/Drop),Solved,262,415,0,No,
100240,2026-01-26,00:00,Alex,Sale,How to purchase?,Escalated (In progress),7,465,134,No,7
100241,2025-12-30,00:00,Maria,Installation or Uninstallation,How to install?,Waiting for user info,14,321,120,No,3
100242,2026-01-23,00:00,Elena,Activating and Licensing,Key blocked,Solved,125,385,61,No,9
100243,2026-01-05,00:00,Alex,Activating and Licensing,Key blocked,Solved,14,534,122,No,3
100244,2025-12-24,00:00,Igor,Sale,How to purchase?,Solved,54,507,0,Yes,
100245,2025-12-01,00:00,Alex,Installation or Uninstallation,How to install?,Solved,13,498,588,No,3
100246,2025-12-31,00:00,Dmitriy,Installation or Uninstallation,How to install?,Waiting for user info,42,268,580,No,2
100247,2026-02-09,00:00,Maria,Sale,Mistyped email,Solved,13,335,0,No,6
100248,2026-02-20,00:00,Sveta,Activating and Licensing,Activating by assigning license,Waiting for user info,234,340,106,No,6
100249,2026-02-23,00:00,Igor,Activating and Licensing,Key blocked,Solved,80,448,30,No,2
100250,2026-02-04,00:00,Maria,Activating and Licensing,Key blocked,Waiting for user info,272,350,133,No,9
100251,2026-02-16,00:00,Elena,General / Other,Non support (Prank/Drop),Solved,46,347,0,No,6
100252,2026-01-15,00:00,Igor,General / Other,Not category,Solved,141,471,76,No,2
100253,2025-12-01,00:00,Anna,Sale,Mistyped email,Solved,27,295,0,No,8
100254,2026-01-06,00:00,Sveta,Activating and Licensing,Key blocked,Solved,190,393,93,No,7
100255,2025-12-31,00:00,Elena,Sale,How to purchase?,Solved,9,373,53,No,9
100256,2025-12-26,00:00,Dmitriy,Activating and Licensing,Activating by assigning license,Solved,36,313,146,No,8
100257,2025-12-09,00:00,Igor,Activating and Licensing,Activating by assigning license,Solved,14,549,285,No,7
100258,2026-02-23,00:00,Dmitriy,Sale,Mistyped email,Solved,133,283,0,No,6
100259,2025-12-18,00:00,Maria,Activating and Licensing,Activating by assigning license,Solved,19,406,566,No,
100260,2026-01-26,00:00,Anna,Installation or Uninstallation,Error during installation,Solved,144,424,148,No,6
100261,2025-12-07,00:00,Dmitriy,Sale,Mistyped email,Solved,26,283,0,No,9
100262,2025-12-13,00:00,Alex,Installation or Uninstallation,Error during installation,Solved,49,534,135,No,5
100263,2026-01-13,00:00,Elena,Activating and Licensing,Key blocked,Waiting for user info,165,288,30,No,6
100264,2025-12-25,00:00,Maria,Activating and Licensing,Key blocked,Escalated (In progress),200,292,133,No,5
100265,2025-12-02,00:00,Dmitriy,Installation or Uninstallation,Error during installation,Waiting for user info,153,300,126,No,8
100266,2026-02-18,00:00,Elena,Activating and Licensing,Key blocked,Solved,19,384,118,No,9
100267,2026-01-12,00:00,Sveta,Installation or Uninstallation,How to install?,Solved,24,337,125,No,6
100268,2026-02-17,00:00,Dmitriy,Installation or Uninstallation,Error during installation,Solved,10,293,288,No,
100269,2026-02-23,00:00,Anna,Sale,Refund: Other Reason/Unknown,Solved,36,378,0,No,
100270,2025-12-04,00:00,Alex,Installation or Uninstallation,Error during installation,Solved,17,516,581,No,
100271,2026-02-05,00:00,Anna,Installation or Uninstallation,How to install?,Solved,81,333,36,No,7
100272,2026-01-25,00:00,Dmitriy,Activating and Licensing,Activating by assigning license,Waiting for user info,112,257,584,No,9
100273,2026-01-12,00:00,Maria,Activating and Licensing,Activating by assigning license,Solved,243,373,75,No,7
100274,2026-01-23,00:00,Anna,Installation or Uninstallation,How to install?,Solved,191,322,575,No,4
100275,2025-12-23,00:00,Igor,Sale,How to purchase?,Solved,20,506,0,No,6
100276,2026-01-01,00:00,Alex,Activating and Licensing,Activating by assigning license,Waiting for user info,118,453,579,No,
100277,2025-12-16,00:00,Igor,Sale,Mistyped email,Solved,13,441,0,No,3
100278,2026-02-04,00:00,Anna,Installation or Uninstallation,Error during installation,Waiting for user info,39,356,120,No,7
100279,2026-01-27,00:00,Maria,Sale,Refund: Other Reason/Unknown,Solved,11,381,113,No,5
100280,2026-02-17,00:00,Elena,Installation or Uninstallation,Error during installation,Solved,28,352,279,No,7
100281,2026-01-05,00:00,Dmitriy,Activating and Licensing,Activating by assigning license,Solved,28,259,46,No,8
100282,2026-01-20,00:00,Dmitriy,Installation or Uninstallation,Error during installation,Solved,193,275,575,No,
